---
stand: 2026-03-02 23:30
update: Runbook um kanonischen Sim-Verifikationsablauf erweitert und mit Sim-README/TODO synchronisiert.
checks: npx --yes markdownlint-cli2 --config .markdownlint-cli2.jsonc 'novapolis_agent/docs/runbook.md' 'novapolis-sim/README.md' 'novapolis-dev/docs/todo.sim.md' 'novapolis-dev/docs/todo.index.md' 'novapolis-dev/docs/donelog.md' 'novapolis_agent/docs/DONELOG.txt' PASS (2026-03-02 23:06); .\.venv\Scripts\python.exe scripts\check_frontmatter.py 'novapolis_agent/docs/runbook.md' 'novapolis-sim/README.md' 'novapolis-dev/docs/todo.sim.md' 'novapolis-dev/docs/todo.index.md' 'novapolis-dev/docs/donelog.md' 'novapolis_agent/docs/DONELOG.txt' PASS (EXITCODE=0, 2026-03-02 23:06)
---


Postflight
----------
Meta: Modus=Postflight, Modell=GPT-5, Arbeitsverzeichnis=F:\VS Code Workspace\Main, RepoRoot=F:\VS Code Workspace\Main, PSScriptRoot=F:\VS Code Workspace\Main\scripts, PSVersion=7.5.4, Aufruf=python F:\VS Code Workspace\Main\scripts\run_checks_and_report.py, SHA256=65570151AA983A6A3784D89B589486A214B8A171D1BA22766C1BF17C49F54E30, STOP-Gate=aktiv, Wrapper-Policy=erfüllt, Quellen=F:\VS Code Workspace\Main\.github\copilot-instructions.md;F:\VS Code Workspace\Main\novapolis_agent\docs\DONELOG.txt;F:\VS Code Workspace\Main\scripts\run_checks_and_report.py, Aktion=Automatisierter Checklauf Backend-relevant (PowerShell-Variante archiviert)
Prüfung: ruff=FAIL, black=FAIL, markdownlint=FAIL, frontmatter=FAIL, pyright=FAIL, mypy=FAIL, pytest=STOP (>40 Testdateien), coverage=SKIP (STOP), PSScriptAnalyzerExit=1
Regeln: IDs=R-WRAP,R-STOP,R-FM,R-LINT,R-CTX,R-SEC,R-LOG,R-COV,R-TIME,R-SAFE
Todos: offen=n/a, BeispielFix=Baseline-Report erfasst, ReRun=geplant nach Lint/Typ-Fixes, Fällig=2025-11-12 01:45
- Pfad-Updates Scanner
  - Reports: `.tmp-results/reports/scan_links_reports` (vorher `.../reports/links`)
  - Backups: `.tmp-datasets/lscan_links_backups` (zentral, timestamped Dateien)
- Test: `scripts/scan_links.ps1` ohne AutoFix ausgeführt → Report `link_report_novapolis_agent_YYYYMMDD_HHMMSS.md` erstellt.
- Nächste Schritte: die 1 verbleibende Referenz „mehrere Versionen. (Prüfen“ im `WORKSPACE_INDEX.md` auflösen; danach Rescan + Receipt.

<!-- frühere Frontmatter (2025-11-10 11:35) inhaltlich erhalten, nur nicht mehr als YAML-Block -->

DONELOG – Abgeschlossene Arbeiten
=================================


2026-03-02 23:07 | Copilot | Offline-Sim-Checker gehaertet: `scripts/check_sim_epoch_assets.py` um optionales `--check-slot-consistency` erweitert (FAIL bei Slot-Mismatch world/pc, Slotwerten ausserhalb `0..23`, fehlender Slotdetektion bei vorhandenen Eintraegen). Neue Unit-Tests `tests/scripts/test_check_sim_epoch_assets.py` decken OK/Mismatch/No-Slot/Out-of-Range ab. Verifikation: `pytest -q tests/scripts/test_check_sim_epoch_assets.py` PASS (4/4), Checker-Lauf mit `--allow-empty --check-slot-consistency` -> `summary=fail:0,warn:2`.
2026-02-23 12:16 | Copilot | Strikte TTS-Compliance umgesetzt: deny-by-default-Allowlist (`config/tts_model_allowlist.json`) eingefuehrt, Exporter (`scripts/tts_coqui_export.py`) mit harter Policy-Validierung erweitert, Kompatibilitaets-Wrapper (`scripts/tts_export_coqui.py`) angelegt, Coqui-Lizenz lokal nach `docs/vendor_licenses/coqui/LICENSE-coqui-TTS.txt` gespiegelt, Policy-Doku (`docs/tts-compliance-policy.md`) und Unit-Tests (`tests/scripts/test_tts_coqui_export_policy.py`) ergaenzt.
2026-02-23 10:25 | Copilot | TTS Schritt 1+2 umgesetzt: `app/api/tts_models.py` ergänzt, `app/main.py` um `/tts/health`, `/tts/voices`, `/tts/synthesize` erweitert (Contract-Only Placeholder mit deterministischem Request-Hash), `scripts/tts_coqui_export.py` als CLI-Skeleton hinzugefügt, `tests/test_tts_api_contract.py` neu angelegt.
2026-02-22 18:47 | Copilot | Einzeldatei-Regressionen runtergearbeitet: Import-Bridges für `scripts`/`novapolis_agent.scripts`/`novapolis_agent.tests`/`novapolis_agent.utils` ergänzt, `sim.py` auf lazy `uvicorn`-Import umgestellt, robuste Utility-Importe in mehreren Scripts vereinheitlicht, Cross-Drive-`relpath` in `map_reduce_summary_llm.py` abgesichert, Fallback-Import in `app/api/chat.py` ergänzt; finaler Einzeldatei-Lauf: 171/171 PASS.
2026-02-22 17:24 | Copilot | CI-Smoke-Import fix: `novapolis_agent/scripts/train_lora.py` auf lazy Imports für `torch/peft/transformers/trl` umgestellt; `SFTTrainer` auf `trl.trainer.sft_trainer` korrigiert; gezielte Smoke-Tests (`test_batch5_unit.py`, `test_batch6_unit.py`) grün.
2026-02-22 10:57 | Copilot | Snapshot-Frontmatter-Migration Welle 2: Legacy-Rest `Letzte Aktualisierung:` in `docs/reports/overnight-20251022.md` auf neutralen Text (`Aktualisiert:`) umgestellt.
2026-02-18 06:35 | Copilot | S4 gate run: root editor setup verified (single root .vscode tasks/launch), launch.json valid, root ruff/pytest tasks runnable; import order in app/api/chat.py aligned for ruff.
2026-02-18 05:26 | Copilot | S2: shadow-mode logging enabled (hash-only JSONL), settings flags added, chat pipeline instrumented, targeted tests PASS (test_api_chat_internal_branches + test_rag_guards).
2026-01-07 10:08 | Copilot | Prioritaet 2 (inkrementell): Agent-Skripte bevorzugen `novapolis_agent.app.*` Imports; mypy-Duplikat durch Entfernen von `app.<pkg>.__init__` Reexports behoben; Root-Pytest wieder PASS.
2026-01-07 09:11 | Copilot | Root-Wrapper `scripts/agent` erweitert (weitere Test-CLIs), Agent-Skripte auf `novapolis_agent.scripts.*` Imports umgestellt, Tests auf `scripts.agent.*` migriert; Root-Pytest-Wrapper repariert; `pytest -q` (root) + `pyright+mypy` PASS.
2025-11-18 03:55 | GitHub Copilot | Pyright dauerhaft aktiviert (Wrapper PATH), `pyrightconfig.json` auf Root-venv/Python3.13 gestellt; Typwarnungen in `app/api/chat.py`, `utils/rag.py`, `utils/eval_utils.py` entschärft; Full‑Checks PASS, Coverage 83.33%.
2025-11-17 09:40 | Copilot | Archiviert: `novapolis_agent/app`-Stubs nach `novapolis_agent/archive/app/` verschoben; Live-Stubs durch explizite Import-Fehlermarker ersetzt; Root-`app/__init__.py` Shim hinzugefügt, Tests aktualisiert. Commits: `1df7561`, `6191a5d`.
2025-11-17 04:55 | Copilot | `novapolis_agent/app/routers` & `app/services/llm.py` entfernt (inkl. Mirror-Pakete + zugehörige Tests); `WORKSPACE_INDEX.md`, `cleanup_recommendations.md`, `WORKSPACE_STATUS.md` und DONELOGs aktualisiert.
2025-11-14 15:13 | Copilot | Docs sweep: added missing YAML frontmatter to `.tmp-results/todo.cleaned.md`, `eval/config/context.local.md`, and `novapolis_agent/eval/config/context.local.md`; normalized `novapolis_agent/docs/DONELOG.txt` ordering and applied sorted DONELOG content; ran `npx --yes markdownlint-cli2` (PASS) and `scripts/run_frontmatter_validator.ps1` (initial FAIL → auto-fix → PASS); committed & pushed (`chore(docs): add missing frontmatter for validator (auto-fix)`).
2025-11-14 14:44 | Copilot | Repo cleanup: Ruff/B010 & E501 fixes in `app/api/chat.py`, argparse help fix in `novapolis_agent/scripts/run_eval.py`, markdownlint table fix `novapolis-rp/.../person_index_np.md`; full checks-run PASS (markdownlint/ruff/black/mypy/pytest). Tests stabilized (mod.main replacements).
2025-11-12 01:05 | Copilot | `WORKSPACE_INDEX.md` und Backup `WORKSPACE_INDEX.md.bak.linkscan` entfernt (redundant/obsolet); Referenzen geprüft, TODO aktualisiert.
2025-11-11 00:09 | Copilot | Dokumentation: Review des Checks-Wrappers (damals PowerShell, inzwischen `python scripts/run_checks_and_report.py`) ergänzt; ToDo für Status-Fix (STOP -> FAIL) eingetragen und Änderungen committet.
2025-11-10 12:12 | GitHub Copilot | Docs: Root and `novapolis-sim` README updated to record successful Godot ↔ Agent connection verification (headless verifier + smoke test). WORKSPACE_STATUS.md updated with sim verification note.
2025-11-10 11:02 | GitHub Copilot | Sim module: added `novapolis-sim/scripts/verify_sim.gd` (headless verifier), `scripts/verify_sim.ps1` (PowerShell smoke test), updated `novapolis-sim/README.md` with start/stop/verify instructions, and patched `novapolis-sim/autoload/SimClient.gd` (exported `port`, increased default `step_interval`, exponential backoff and improved status messages). Ran smoke test and `novapolis_agent/tests/tests_sim_api.py` (both PASS).
2025-11-10 08:40 | GitHub Copilot | Cleanup (Agent): `scripts/cleanup_phase3.ps1`, `cleanup_phase4.ps1`, `history_purge_plan.ps1` entfernt.
2025-11-10 08:19 | GitHub Copilot | Tool-Registry: `settings` Alias wiederhergestellt; pytest tests/test_tools_registry.py PASS.
2025-11-10 08:08 | GitHub Copilot | Ruff-Aufräumarbeiten: registry.py auf moderne Typen umgestellt, append_done/rerun_failed Importe sortiert, Generics & open-Modi bereinigt.
2025-11-10 02:25 | Copilot | Generators: frontmatter order + Setext headings enforced; modified `novapolis_agent/scripts/todo_gather.py` and `novapolis_agent/scripts/map_reduce_summary_llm.py`; removed `scripts/tmp_fix_md.py`; dry-run receipts `.tmp-results/markdown/20251110_0219/` & `_0220/`; markdownlint + frontmatter validator PASS.
2025-11-10 01:13 | Copilot | Tests/Typen-Sequenz ausgeführt: `pytest` PASS (298 passed, 1 skipped); Coverage 81.66% (artifacts in `outputs/test-artifacts`). Pyright lokal ausgeführt (52 Typprüfungs-Funde; siehe Terminal). Mypy (CWD=`novapolis_agent`, `mypy.ini`) PASS: "Success: no issues found in 62 source files". Receipt in Root `DONELOG.md` ergänzt; Todo `Tests/Typen sequenziell laufen lassen` als erledigt markiert.
2025-11-10 00:35 | Copilot | Aktion: `todo.root.md` follow-ups als erledigt markiert; DONELOG-Eintrag in Root und Agent-DONELOG ergänzt; Repo-Lint ergab 4 MD009 trailing-space Treffer in `todo.root.md` (noch offen).
2025-11-10 00:28 | Copilot | Tests/Coverage: 298 passed, 1 skipped; Total coverage 81.66%; Artifacts: outputs/test-artifacts/coverage.xml, outputs/test-artifacts/junit.xml
2025-11-10 00:01 | Copilot | Tests/Coverage: 298 passed, 1 skipped; Total coverage 81.66%; Artifacts: `outputs/test-artifacts/coverage.xml`, `outputs/test-artifacts/junit.xml`.
2025-11-09 22:55 | Copilot | Installed `novapolis_agent` editable into Root `.venv` and executed `pytest -q` with CWD `novapolis_agent`. Test suite completed successfully (run completed, collection and execution finished). Wrapper scripts and tasks updated; recommend committing wrapper scripts and DONELOG entry.
2025-11-09 22:42 | Copilot | Post-run checks: `checks_linters.ps1` (ruff/black) reported many issues (automated report available in terminal); `checks_types.ps1` (pyright+mypy) ran: 0 errors, 12 warnings; `tests_pytest_root.ps1` (`pytest -q`) aborted during collection due to ImportError/ModuleNotFound (tests depend on package import paths / venv setup). Next: advise running inside project venv or fixing PYTHONPATH/import layout before full test run.
2025-11-09 22:38 | Copilot | Converted inline `pwsh -NoProfile -Command` tasks into wrapper scripts and updated `/.vscode/tasks.json`; created wrapper scripts `scripts/checks_linters.ps1`, `scripts/checks_types.ps1`, `scripts/tests_pytest_root.ps1` and backup `Backups/tasks.json.bak`.
2025-11-09 17:51 | Copilot | Coverage-Gate erreicht: Gesamt 81.66% (Wrapper `run_pytest_coverage.ps1`), neue Tests für stream_chat_request/process_chat_request Zweige, Memory-Truncation Edge, scripts open_context_notes/open_latest_summary Fehlerpfade.
2025-11-07 22:11 | Copilot | Korrektur/Anmerkung: Vorheriger Eintrag (2025-11-07 21:46 | Panicgrinder) wurde geprüft; die dort sichtbare Teilansicht/Zeichenkürzung war irreführend. Dieser Eintrag dokumentiert die aktuelle Systemzeit und dient der Audit-Transparenz — keine inhaltliche Löschung der Originalzeile.
2025-11-07 21:46 | Panicgrinder | Implementiert: automatisierte Frontmatter-Updates (`stand`/`update`[, `checks`]), Backups `<file>.bak`, scoped Frontmatter-Validator, DONELOG-Append; Legacy-Wrapper entfernt.
2025-11-07 21:45 | Panicgrinder | Test frontmatter update (dry)
2025-11-07 21:29 | Panicgrinder | update Frontmatter und betroffene Dateien (commit d06ab6b)
2025-11-07 21:26 | Panicgrinder | update Frontmatter und betroffene Dateien (commit d06ab6b)
2025-11-07 18:25 | Panicgrinder | Pytest Voll-Lauf: 240 passed, 1 skipped; Coverage-Gate fehlgeschlagen, vorerst ignoriert (Single-Root).
2025-11-07 18:10 | Copilot | Legacy-Stubs im Modulordner entfernt (.githooks, .github, .tmp-*); WORKSPACE_INDEX bereinigt.
2025-11-07 13:05 | Copilot | Etappe 4 abgeschlossen: ruff/black zentral (Root pyproject), Tasks vorhanden, pre-commit nutzt Root .venv; keine Modul-Tool-Konflikte.
2025-11-07 12:56 | Copilot | Devcontainer-Verzeichnis physisch gelöscht (Remove-Item -Recurse -Force); Bestätigung: Test-Path -> MISSING. Single-Root dokumentiert.
2025-11-07 12:37 | Copilot | Devcontainer (novapolis_agent/.devcontainer) entfernt/deaktiviert: Dateien zu Stubs neutralisiert; Single-Root-Flow nutzt lokale .venv. Physische Löschung im nächsten Cleanup.
2025-11-07 10:53 | Copilot | Doku-Update: Modus General bestätigt; Coverage-Befehl mit Dateizähler + PASS/FAIL-Ausgabe in `.github/copilot-instructions.md` dokumentiert; keine Codeänderungen.
2025-11-07 10:20 | Copilot | Skript-Smoke-Tests erweitert (`test_open_latest_summary_smoke.py`, `test_generate_consistency_report_smoke.py`, `test_todo_gather_script_smoke.py`, `test_export_finetune_script.py`) und Streaming-SSE-Tests geschärft (`test_chat_stream_sse.py` mit Delta/Error-Abdeckung); gezielte Pytests PASS.
2025-11-07 09:59 | Copilot | Doku-Sweep: Repo-weites markdownlint erneut ausgeführt (132 Dateien, 0 Fehler); korrekte Quoting-Policy ('`**/*.md`') bestätigt.
2025-11-07 06:31 | Copilot | Verhalten-SSOT konsolidiert (.github/copilot-instructions.md); alte Verhaltensdokus entfernt; Referenzen aktualisiert.
2025-11-07 02:19 | Copilot | Root-Status-Docs synchronisiert (`todo.root.md`, `WORKSPACE_STATUS.md`, `single-root-todo.md`); Repo-weites markdownlint-Ergebnis dokumentiert; VS Code Lint-Task (Quoting '`**/*.md`') angeglichen.
2025-11-06 04:40 | Copilot | Demo-Test wieder entfernt, `pytest -q` manuell per pwsh ausgeführt (Suite PASS); Frontmatter-Demo abgeschlossen.
2025-11-06 04:15 | Copilot | Absichtlichen Demo-Test `tests/test_intentional_failure.py` hinzugefügt (erzwingt pytest-FAIL) und YAML-Frontmatter-Validator mit Beispieldatei geprüft; Fehlermeldungen dokumentiert.
2025-11-06 03:34 | Copilot | Workspace-Tree-Snapshots aktualisiert; Root-Status und Dev-DONELOG synchronisiert; keine neuen Checks erforderlich.
2025-11-06 01:54 | Copilot | Tests/Typen manuell (Terminal): pytest -q, pyright, mypy PASS; Ergebnis protokolliert.
2025-11-02 00:19 | Panicgrinder | Top-Level Paketshim bereinigt; __init__.py re-exportiert app-Modul.
2025-11-01 16:32 | Panicgrinder | Root DONELOG Heading-Stil (MD003) aktualisiert; TODO-Fronsync; markdownlint Drittanbieter offen.
2025-11-01 10:15 | Copilot | Markdownlint: `scripts/README.md` manuell bereinigt (Fenced-Language/Blank-Lines/Tabs/Newline); RP-Dokus (`novapolis-rp/NEW_REPO.md`, `database-rp/06-scenes/README.md`) korrigiert (Codefences/Final-Newline).
2025-11-01 10:07 | Copilot | Markdownlint (Docs-only): Tabs→Spaces in `.github/copilot-instructions.md` und overnight-Report; fehlende Fenced-Language (`ini`) in `docs/customization.md` ergänzt. Keine Codeänderungen.
2025-10-31 23:40 | Copilot | Projektordner in `novapolis_agent` umbenannt, Mypy-Lauf via `python -m mypy --config-file mypy.ini app scripts` etabliert, Tree-/Ignore-Dateien und Behaviour-Doku angepasst.
2025-10-31 23:12 | Copilot | Synonyme für "freundlich" ergänzt, pytest grün, Eval-Lauf (ASGI, Limit 50, Hint+Retry) protokolliert.
2025-10-31 15:10 | Copilot | Root-Dokumente (Copilot-Anleitung, README, TODO, DONELOG) an Novapolis Agent Branding angepasst.
2025-10-31 14:05 | Copilot | Dokumentation auf Novapolis Agent umgestellt (AGENT_BEHAVIOR, README, TODO, customization, Index, Eval-Doku, Kontextsample aktualisiert).
2025-10-31 13:22 | Panicgrinder | Markdownlint-Workflow geprüft; offene Funde aus novapolis-rp erfasst
2025-10-26 00:10 | Panicgrinder | eval_ui: robust multi-select (comma/space/semicolon, ranges); search datasets+eval for packages; gates PASS
2025-10-26 00:05 | Copilot | Doku: customization.md um Abschnitt zu LLM-Optionen (Defaults via .env, Pro-Request-Overrides, Beispiele curl/PowerShell) erweitert; Gates PASS.
2025-10-25 23:59 | Copilot | Streaming: SSE-Chunks als Plain "data: <chunk>" + Fallback bei invalid JSON; "event: delta" nur bei Post-Rewrite; Tests/Pyright/Mypy PASS.
2025-10-25 23:59 | Copilot | LLM-Optionen erweitert: ChatOptions & Normalisierung (top_k, min_p, typical_p, tfs_z, mirostat*, penalize_newline); Settings-Defaults ergänzt; README dokumentiert; Validation-Tests hinzugefügt; Gates PASS.
2025-10-25 23:58 | Panicgrinder | eval_ui: profiles support top_p/num_predict; added sample profile policies; updated eval README; tests+types PASS
2025-10-25 23:20 | Panicgrinder | chat.py: SSE streaming now emits 'event: delta' with JSON {text} per chunk; keeps meta/done and post-policy meta; tests+pyright+mypy PASS.
2025-10-25 22:37 | Panicgrinder | README: kurzer Abschnitt 'Lokales RAG' ergänzt (Flags, Indexer-CLI, Beispiel, Task-Hinweise); keine Codeänderungen; Gates grün.
2025-10-25 22:31 | Panicgrinder | TODO um RAG-Sektion konsolidiert (Fortschritt+Next Steps an passender Stelle); Unit-Tests für TF-IDF (retrieve Ranking, save/load Roundtrip) ergänzt; Gates grün.
2025-10-25 22:20 | Panicgrinder | Outstanding Änderungen synchronisiert (Tasks, AGENT_BEHAVIOR, Settings, WORKSPACE_INDEX); rag_indexer Script hinzugefügt. Keine Verhaltensänderung.
2025-10-25 22:16 | Panicgrinder | Tests ergänzt: RAG-Guards (stream/non-stream) sichern None-Index-Pfade ab; chat.py Typisierungen für RAG-Imports/idx präzisiert; Pyright jetzt 0 Warnungen; Verhalten unverändert.
2025-10-25 22:07 | Panicgrinder | Pyright-Warnungen in utils/rag.py entfernt: explizite Typisierungen in from_dict (Dict[str, object], Mapping-Casts); keine Verhaltensänderung.
2025-10-25 21:18 | Copilot | Bugfix: utils/rag.py save_index Einrückung korrigiert (payload/json.dump innerhalb des with‑Blocks); Tests/Typen erneut grün.
2025-10-25 21:13 | Panicgrinder | Kleine Korrekturen
2025-10-25 21:10 | Copilot | RAG (leichtgewichtig) integriert: TF‑IDF‑Retriever injiziert Top‑K Snippets als System‑Nachricht (optional via `SETTINGS.RAG_*`); CLI `scripts/rag_indexer.py` hinzugefügt; bestehende Tests unverändert.
2025-10-25 20:12 | Panicgrinder | Refactor: `_get_content_from_message()` eingeführt; Union-Attributzugriff eliminiert; Pyright/Mypy/Tests grün.
2025-10-25 19:52 | Panicgrinder | Typfehler in app/main.py behoben: Messages-Längenprüfung für ChatMessage|dict; request.json typisiert; Pyright/Mypy grün; Tests unverändert grün.
2025-10-25 18:51 | Panicgrinder | API: Einheitliches Message-Schema  ChatRequest.messages akzeptiert ChatMessage oder dict; Validator hinzugefügt; Tests ergänzt (tests/test_messages_schema.py). CI-Gates grün.
2025-10-25 14:22 | Panicgrinder | Streaming: Initiales Meta-Event (params: mode, request_id, model, options) am Stream-Beginn hinzugefügt; Test ergänzt (tests/test_streaming_initial_meta.py); TODO.md aktualisiert. Suite & Typen grün.
2025-10-25 14:02 | Panicgrinder | Kontext-Notizen: Priorität auf lokale Dateien (`context.local.*`) vor angehefteten Refs (`context.notes`) gesetzt; Pyright-Konfiguration bereinigt (ungueltige Keys entfernt, Tests/Scripts vorerst ausgeschlossen). Tests & Typen grün.
2025-10-25 09:10 | Copilot | Mittelfristig: Tool‑Use Basis angelegt (Settings: TOOLS_ENABLED/WHITELIST; Registry; calc_add Tool; Unit‑Tests). TODO.md aktualisiert.
2025-10-24 11:28 | Copilot | Pyright-Warnungen im App-Code bereinigt (casts/Typen in chat_helpers, content_management, mode, main); Pyright-Config auf app+utils fokussiert.
2025-10-24 11:20 | Panicgrinder | Cleanup: app/prompt/system.txt (Altlast) entfernt; WORKSPACE_INDEX und README geprüft.
2025-10-23 11:46 | Copilot | ChatOptions: Pydantic-Optionschema eingeführt; ChatRequest.options akzeptiert Dict oder ChatOptions; chat.py passt Mapping/Dump an; Tests hinzugefügt.
2025-10-23 11:40 | Copilot | DONELOG: Autorenschafts-Hinweis in AGENT_BEHAVIOR.md ergänzt (Quelle kann Mensch oder Tool sein; Format dokumentiert).
2025-10-23 11:38 | Copilot | Doku: Profiles & Merge Order in AGENT_BEHAVIOR.md ergänzt; WORKSPACE_INDEX aktualisiert (LICENSE, policy.sample.json, Beschreibungen).
2025-10-23 11:36 | Copilot | LLM-Options: Smoke-Tests für erweiterte Optionen (num_ctx/stop/penalties) hinzugefügt; Pass-Through verifiziert.
2025-10-23 11:34 | Copilot | Memory: Tests für Fenster/Trunkierung (InMemory/JSONL) ergänzt; Append-Fehler schlagen Stream nicht mehr fehl (WARN statt Crash).
2025-10-23 11:30 | Copilot | Policy-Profile: Merge von default + profiles.<id> in content_management implementiert; Tests für Allow/Rewrite/Block/Profile-Merge/Bypass hinzugefügt; policy.sample.json erweitert.
2025-10-23 11:08 | Copilot | Doku: Abschnitt „Inhalts‑Policy & Hooks (optional)“ in AGENT_BEHAVIOR.md ergänzt (Aktivierung, POLICY_FILE, Struktur, Verweise auf Implementierung/Tests).
2025-10-23 11:05 | Copilot | Policy-Hooks: Datei-basierte Minimal-Tests für forbidden_terms/rewrite_map hinzugefügt; Nutzung über SETTINGS.POLICY_FILE verifiziert; schneller Teil-Lauf grün.
2025-10-23 10:50 | Copilot | Lizenz hinzugefügt: MIT-Lizenz-Datei (`LICENSE`) und Hinweis in README.
2025-10-23 10:42 | Copilot | Cleanup-Review: `content_management` aktiv genutzt (behalten), `convlog` nur Beispiele (belassen), `summarize` in Tests/Beispielen (belassen), `session_memory` genutzt (belassen); TODO entsprechend aktualisiert.
2025-10-23 10:35 | Copilot | Cleanup: `app/schemas.py` endgültig entfernt; Modelle liegen zentral in `app/api/models.py`. Kurzer Testlauf grün.
2025-10-23 10:20 | Copilot | Cleanup: `app/schemas.py` als Deprecation-Weiterleitung auf `app/api/models.py` umgestellt (keine direkten Importe gefunden); sichere Migration ohne Bruch.
2025-10-23 10:00 | Copilot | Kontext-Notizen Defaults erweitert (eval/config/context.notes in CONTEXT_NOTES_PATHS); eval_loader Diagnostics um schema_issues ergänzt; Tests/Typen unverändert.
2025-10-23 10:00 | Copilot | Kontext-Notizen Budget erhöht (CONTEXT_NOTES_MAX_CHARS=12000); Standard-Pfade für pinned Notes aktiv; schnelle Tests grün.
2025-10-23 01:13 | Panicgrinder | Tests: docs obsolete absent  AGENT_PROMPT.md darf fehlen; Mypy: unused ignore in app/core/mode.py entfernt
2025-10-23 00:22 | Panicgrinder | Context notes: directory order via ORDER file; ignore README/ORDER meta; collapse excessive blank lines in loader; docs+tests updated
2025-10-22 23:52 | Panicgrinder | Context notes: directory + .ref support; added eval/config/context.notes with 5 pinned refs; updated AGENT_BEHAVIOR.md
2025-10-22 19:19 | Panicgrinder | lint: Pyright-Warnungen reduziert  unbenutzte Imports in Scripts entfernt (curate_dataset_from_latest, eval_ui, export_finetune, fine_tune_pipeline, generate_eval_dataset, map_reduce_summary(_llm), reports/*, rerun_from_results, todo_gather). Tests/Typen grün.
2025-10-22 18:56 | Panicgrinder | docs/prompts: Sprache dauerhaft auf Deutsch gesetzt (AGENT_BEHAVIOR.md, DEFAULT_SYSTEM_PROMPT, context.local.md). Tests/Typen grün.
2025-10-22 17:30 | Panicgrinder | Typechecks gruen: Pyright Warnungen nur; Mypy konfiguriert (warn_unused_ignores in tests deaktiviert); Test-Fix: eval_mode aus ChatRequest() entfernt; tzinfo-Typ fix in time_utils.
2025-10-22 16:50 | Panicgrinder | Docs/Tasks: Referenzen nach Entfernen der verschachtelten Kopie geprueft; keine verbleibenden  enter cvn-agent/-Hinweise; VS Code Task auf AGENT_BEHAVIOR.md umgestellt; Tests gruen; Typechecks: Pyright 1 Fehler (Test named arg), Mypy weist bestehende unused-ignore in Tests aus.
2025-10-22 14:17 | Panicgrinder | Kontext: Digest in eval/config/context.local.md; Platzhalter-Logs für heute/gestern (data/logs/YYYY-MM-DD.jsonl) erstellt; Historie in docs/AGENT_BEHAVIOR.md präzisiert; TODO aktualisiert.
2025-10-22 13:54 | Panicgrinder | Docs konsolidiert: AGENT_BEHAVIOR.md erstellt (Merge aus AGENT_PROMPT.md + BEHAVIOR.md); Settings CONTEXT_NOTES_PATHS um AGENT_BEHAVIOR/TODO/DONELOG erweitert; Referenzen & VS Code Task aktualisiert.
2025-10-22 01:11 | Panicgrinder | Add generator script for new eval items and create dataset eval-101-300_generated_v1.0.jsonl (200 items)
2025-10-22 01:01 | Panicgrinder | Automation: add summarize_eval_results.py and VS Code task for overnight eval + auto report.
2025-10-22 00:53 | Panicgrinder | Eval: Teilrun 50/136 (ASGI) saved to results_20251022_0042_overnight-20251022.jsonl; report at docs/reports/overnight-20251022.md.
2025-10-22 00:41 | Panicgrinder | Eval: start overnight run (ASGI) tag=overnight-20251022; results will be summarized after completion.
2025-10-21 23:36 | Panicgrinder | Docs: add BEHAVIOR.md (Projektverhalten) und WORKSPACE_INDEX.md aktualisiert.
2025-10-21 22:50 | Panicgrinder | Types: fix mypy errors in chat.py, content_management.py, and run_eval.py; no runtime behavior change.
2025-10-21 22:00 | Panicgrinder | Docs: add docs-only history purge plan and helper script; wording cleanup in DONELOG.
2025-10-21 20:57 | Panicgrinder | Tests: add pytest norecursedirs to ignore nested submodule; fix import mismatch and restore stable test runs (api, streaming, unit passing).
2025-10-21 20:53 | Panicgrinder | Docs: removed remaining Compose mention in TODO (superproject and submodule). Also restored VS Code settings from backup to undo catch-all auto-approve.
2025-10-21 13:35 | Copilot | Kompakte Timestamps zentralisiert: Scripts auf now_compact() umgestellt (export_finetune, map_reduce_summary[_llm], run_eval, rerun_from_results, reports/*, eval_ui, fine_tune_pipeline, todo_gather); Scripts-Tests grün.
2025-10-21 13:29 | Copilot | Zeitstempel vereinheitlicht: utils/time_utils.py eingeführt; convlog nutzt now_iso(); append_done nutzt now_human(); schnelle Tests grün.
2025-10-21 12:54 | Panicgrinder | TODO: Cleanup-Kandidaten-Sektion basierend auf Konsistenz-Report ergänzt; CLI-Tools markiert.
2025-10-21 12:47 | Panicgrinder | Reports: Konsistenz/Dependencies/Coverage Generatoren repariert (sys.path + now_compact); Reports erzeugt.
2025-10-21 12:15 | Copilot | .gitignore: Kontext-Notizen konsolidiert (`eval/config/context.local.*` statt Einzellisten); keine weiteren Änderungen.
2025-10-21 12:00 | Copilot | Chat-Options zentral normalisiert (normalize_ollama_options) und in Stream/Non-Stream verdrahtet; Policy-Stream-Tests (Pyright) stabilisiert; Copilot-Anleitung (PR-Checkliste/Marker/Pitfalls) geschärft.
2025-10-21 09:38 | Copilot | CI: `workflow_dispatch` zur CI hinzugefügt (manuelle Runs möglich); alle Checks grün (CI/build-test, Enforce DONELOG, Consistency & Reports).
2025-10-21 09:34 | Copilot | Synonyme erweitert: Eintrag für „empathisch“ (einfühlsam, zugewandt, mitfühlend, verständnisvoll, empathie) ergänzt; `tests/test_chai_checks.py` besteht.
2025-10-21 09:31 | Copilot | `scripts/openai_ft_status.py`: Import von `openai` optional; Fehlerausgabe nur bei tatsächlicher Nutzung, Tests können `OpenAI` stubben.
